drug_name,gene_name
IPILIMUMAB,ALK
AMITRIPTYLINE HYDROCHLORIDE,CACNG2
NICOTINE POLACRILEX,CHRNA4
DASATINIB ANHYDROUS,ABCG2
RITUXIMAB,IL6
RITUXIMAB,FCGR2A
RITUXIMAB,FCGR3A
LITHIUM,ABCB1
FLOXACILLIN,HLA-DRA
FLUOROURACIL,TP53
METHYLPHENIDATE HYDROCHLORIDE,HTT
METHYLPHENIDATE HYDROCHLORIDE,ABCB1
RIBAVIRIN,IL18
CELECOXIB,MMP9
GRAPEFRUIT JUICE,ABCB1
DOXYCYCLINE ANHYDROUS,ABCB1
NAPROXEN SODIUM,ABCB1
"IBUPROFEN, SODIUM SALT",ABCB1
PROGESTERONE,ABCB1
RIBAVIRIN,CARD16
EXEMESTANE,MAP4K4
SUNITINIB,FGFR2
TOLCAPONE,COMT
LENALIDOMIDE,FGF2
IDARUBICIN,CYP2E1
CELECOXIB,PTGES
CELECOXIB,CACNA1A
SUCCINYLCHOLINE,BCHE
ERDAFITINIB,FGFR3
PHENOXYBENZAMINE,ADRA2A
RIBAVIRIN,HLA-B
ERDAFITINIB,FGFR2
DESMETRAMADOL,CYP2D6
DESVENLAFAXINE SUCCINATE,CYP2D6
FLUOROURACIL,XRCC3
PACLITAXEL,TUBB4A
LAMIVUDINE,PCYT1A
FLUOROURACIL,NLGN1
MERCAPTOPURINE,HLA-DRB1
NILOTINIB,CYP1A1
AMITRIPTYLINE HYDROCHLORIDE,DRD3
ALPELISIB,PIK3CA
INDOMETHACIN,PTGS2
ETOPOSIDE,YAP1
ERIBULIN MESYLATE,TUBB4B
RIBAVIRIN,CYP2R1
PRAVASTATIN SODIUM,IL1B
CLAVULANIC ACID,HLA-C
INFLIXIMAB-DYYB,HLA-C
TENOFOVIR DISOPROXIL FUMARATE,CYP27B1
BUDESONIDE,FCER2
USTEKINUMAB,NFKBIA
FENOFIBRATE MICRONIZED,HLA-A
COLCHICINE,TUBB4B
IDARUBICIN,NQO2
"IBUPROFEN, SODIUM SALT",CYP1A2
PAREGORIC,CYP1A2
"IBUPROFEN, SODIUM SALT",NOS3
MOMELOTINIB,ERBB3
MOMELOTINIB,ERBB2
GANITUMAB,IGF1R
ASUNERCEPT,FASLG
VON WILLEBRAND FACTOR,F10
APLINDORE,DRD2
AR-42,HDAC8
VARLITINIB,ERBB2
TRIAZOLAM,GABRA3
AV-412,ERBB2
CARIPRAZINE,DRD3
CINTREDEKIN BESUDOTOX,IL4R
ABATACEPT,CD80
ETORICOXIB,PTGS2
ADH-1,CDH2
FENOLDOPAM MESYLATE,DRD5
FENOLDOPAM MESYLATE,DRD1
LFB-R603,MS4A1
LX1031,TPH1
MB-07803,FBP1
BARICITINIB,JAK2
MBX-2044,PPARG
PRAMIPEXOLE,DRD3
MUPARFOSTAT,FLT4
ROTIGOTINE,DRD2
ROTIGOTINE,DRD3
CARVEDILOL,ADRB3
SOMATROPIN (RECOMBINANT DNA ORIGIN),PRLR
RECOMBINANT INTERLEUKIN-2,IL2RB
PPI-2458,METAP2
OPC-14523,SIGMAR1
LIFITEGRAST,ITGB2
FIRATEGRAST,ITGB1
SOVATELTIDE,EDNRB
TABERMINOGENE VADENOVEC,KDR
TERIPARATIDE,PTH1R
PIMOZIDE,DRD2
TRABEDERSEN,TGFB2
VELNEPERIT,NPY5R
VIRULIZIN,IL12A
VOCLOSPORIN,PPIA
VINCRISTINE,TUBA4A
BUTABARBITAL,CHRNA4
"ERGOLOID MESYLATES, USP",DRD1
CHLORDIAZEPOXIDE,GABRA1
CHLOPHEDIANOL,HRH1
CHLORDIAZEPOXIDE,GABRA3
CLOCORTOLONE,NR3C1
COAGULATION FACTOR VIIA (RECOMBINANT)-JNCW,F7
CYPROHEPTADINE HYDROCHLORIDE,HRH1
CYPROTERONE,AR
CYPROHEPTADINE HYDROCHLORIDE,HTR2A
"ERGOLOID MESYLATES, USP",ADRA1A
PERGOLIDE MESYLATE,DRD4
GOSERELIN ACETATE,LHCGR
INTERFERON ALFA-N1,IFNAR2
LORAZEPAM,GABRA3
"ERGOLOID MESYLATES, USP",DRD5
LABETALOL,ADRB2
AMOXAPINE,DRD4
MEPROBAMATE,GABRA3
MEPROBAMATE,GABRA1
MEFENAMIC ACID,PTGS1
APRACLONIDINE HYDROCHLORIDE,ADRA2A
PAMIDRONATE,FDPS
TESTOLACTONE,CYP19A1
THIETHYLPERAZINE,DRD2
CAFFEINE CITRATE,ADORA2A
TIROFIBAN,ITGB3
AMINOPHYLLINE,ADORA3
CARMUSTINE,GSR
CYPROHEPTADINE HYDROCHLORIDE,HRH1
CYPROHEPTADINE HYDROCHLORIDE,HTR2A
INTERFERON GAMMA-1B,IFNGR1
DINOPROSTONE,PTGER1
OXAPROZIN POTASSIUM,PTGS1
ETORICOXIB,PTGS2
FLURAZEPAM,GABRA1
INDOMETHACIN SODIUM,PTGS1
FLUOCINOLONE ACETONIDE,PLA2G4A
HEXOBARBITAL,GRIK2
DESIRUDIN,F2
MEPROBAMATE,GABRA1
MESALAMINE,PTGS2
NITRAZEPAM,GABRG3
OLANZAPINE,HRH1
OLANZAPINE,CHRM3
TRIAMTERENE,SCNN1A
OLANZAPINE,HTR2C
PREDNISOLONE,ANXA1
ULIXERTINIB,MAPK1
GALLIUM NITRATE,RRM2
THIOUREIDOBUTYRONITRILE,TP53
PRALICIGUAT,UGCG
ALDH2 ACTIVATOR FP-045,ALDH2
SALMETEROL XINAFOATE,ADRB2
ASN007,MAPK3
PRALSETINIB,RET
TELRATOLIMOD,TLR8
PENTOXIFYLLINE,PDE8B
MEVOCICLIB,CDK7
X-82,KDR
ULIXERTINIB,EPHB2
ONTORPACEPT,CD47
DEUCRAVACITINIB,TYK2
RELUGOLIX,LHCGR
MOTOLIMOD,TLR8
NAMODENOSON,ADORA3
REBASTINIB,ABL1
LEVODOPA,DRD2
ALK INHIBITOR ASP3026,ALK
ANTI-HER3 MONOCLONAL ANTIBODY GSK2849330,ERBB3
SIRUKUMAB,IL6R
COAGULATION FACTOR VIIA (RECOMBINANT)-JNCW,F7
FLUMAZENIL,TSPO
AFIMOXIFENE,ESR1
BIMATOPROST (FREE ACID FORM),PTGFR
OCAPERIDONE,HTR2A
ROLUPERIDONE HYDROCHLORIDE,HTR2A
NCX-4016,COX8A
RECOMBINANT MONOCYTE CHEMOATTRACTANT PROTEIN-1,CCL2
TIANEPTINE,SLC6A4
VATALANIB,EGFR
BLONANSERIN,HTR2A
BOSUTINIB,ABL1
BLONANSERIN,DRD2
ISATORIBINE,TLR7
ANDOLAST,CALCA
BENZBROMARONE,ABCC1
SODIUM BICARBONATE,KCND3
SECRETIN,SCT
DACINOSTAT,HDAC9
ELISIDEPSIN,ERBB3
POLO-LIKE KINASE 1 INHIBITOR GSK461364,PLK1
PRX-321,IL4R
ZALEPLON,GABRA1
PIMAGEDINE,NOS2
CLINDAMYCIN HYDROCHLORIDE,RPSA
ZINPENTRAXIN ALFA,NPTX2
VOLINANSERIN,HTR2C
KENPAULLONE,CDK1
CLARITHROMYCIN,RPSA
SCH442416,ADORA3
VU0364739,PLD2
CHR-3996,HDAC1
DS-7423,PIK3CG
NERATINIB MALEATE,ERBB2
FLUFENAMIC ACID,AR
GEMCITABINE,POLE
TREBANANIB,GLUL
BEVACIZUMAB-AWWB,VEGFA
ABALOPARATIDE,PTH1R
ADERBASIB,ADAM17
RTI-336,SLC6A3
BUDESONIDE,NR3C1
CHENODEOXYCHOLIC ACID,NR1H4
FENOPROFEN,COX8A
MIDOSTAURIN,PRKCG
DRONABINOL,CNR1
TOLCAPONE,COMT
TIMOLOL,ADRB1
BLARCAMESINE,CHRM1
IPH-2101,KIR2DL1
IPH-2101,KIR2DL3
LANEPITANT,TACR1
ATABECESTAT,BACE1
"BMS 181,101",A2M
LY334362,HTR2C
BIMU 8,NAT1
VOLINANSERIN,HTR2C
(+)-ADRENALINE,ABCB7
SPIROXATRINE,ABCA4
TERAZOSIN,ABCA4
HEAT (BE2254),ABCA4
METHOXAMINE,ABCA4
A-123189,ABCA4
BRL 44408,ABL1
APRACLONIDINE,ABL1
NOREPINEPHRINE,ABL1
ARC-239,ABL1
APOMORPHINE,AOC1
BRL 44408,AOC1
XYLOMETAZOLINE,AOC1
PHENOXYBENZAMINE,AOC1
NOREPINEPHRINE,AOC1
BRL 44408,ABL2
IDAZOXAN,ABL2
XYLOMETAZOLINE,ABL2
BTB07018,ANPEP
COMPOUND 1A [PMID: 25692029],ANPEP
THEOPHYLLINE,ABAT
PSB1115,ABAT
IMARADENANT,ABCA1
DPCPX,ABCA1
MOLIBRESIB,BRD3
[125I]HPP-DESARG10HOE140,ASIC1
LABRADIMIL,BDKRB2
[3H]NPC17731,BDKRB2
NPC 18565,BDKRB2
BRINZOLAMIDE,GAPDH
BENZOLAMIDE,GAPDH
"SQ-24,798",CPN1
YM-022,CCKBR
UCCF-853,CFTR
SC-560,CPT1B
SAUVAGINE,ALB
ULOCUPLUMAB,ACTG1
TIBREMCICLIB,CDK4
LEROCICLIB,EIF4EBP1
COMPOUND 9B [PMID: 18986805],EIF4G2
COMPOUND 4D [PMID: 20655626],CLDN3
DOPAMINE,ALDH1A1
EBI-2511,EZH2
TIGOZERTINIB,DXO
MIFANERTINIB,DXO
LAPATINIB,DXO
PIROTINIB,DXO
COMPOUND 2 [PMID: 18295483],BLVRA
OL135,CRMP1
GSK2194069,FASN
COMPOUND 2C [PMID: 24900538],DPYSL2
LUCITANIB,DPYSL2
PEMIGATINIB,DPYSL2
TASURGRATINIB,DR1
SLF,HNMT
OSI-930,DRD1
SITRAVATINIB,DRD1
MK-2461,DRD3
CLOPROSTENOL,APOC2
TAFLUPROST,APOC2
CARBACYCLIN,APOC2
[125I]FSH (HUMAN),ALS3
&ALPHA;3IA,GABRA1
TIAGABINE HYDROCHLORIDE,CD14
[125I]GDNF (RAT),DLST
HEXYLCAINE HYDROCHLORIDE,SCN9A
MG2+,GRIN2B
CHR-3996,MSTN
DACINOSTAT,HDAC4
MARBOSTAT-100,GART
HYDROXYAMPHETAMINE HYDROBROMIDE,ADRA1A
HYDROXYAMPHETAMINE HYDROBROMIDE,ADRB1
LOXAPINE,DRD4
FUROSEMIDE,ADAM10
LOXAPINE SUCCINATE,DRD4
CARBACYCLIN,APOC3
ROTIGOTINE,DRD4
GSK2646264,DRD2
LUCITANIB,DRD2
AZD-4547,DRD2
SITRAVATINIB,DRD2
TERFENADINE,BAD
VORAPAXAR SULFATE,F2R
HSTX1[R14A],ATP7B
ARIPIPRAZOLE LAUROXIL,HTR2A
EXAMPLE 36 [WO2016177845],LTC4S
CP-459632,FLT4
AM966,BIN1
GLPG-0555,JAK1
NCL-1,GEM
ML324,GFRA2
"(1S,3R)-ACPD",ANPEP
DCG-IV,ANPEP
4-MPPTS,ANPEP
[3H]LY341495,SLC25A4
GSK-461364A,PLK1
SULFATINIB,FLT4
3F-MT-45,APOF
AM-6120,BAX
2MESATP,APBB2
2MESATP,APBB2
[32P]MRS2500,APBB2
ISOX-CHA-CHG-ARK(SULFO-CY5)-NH2,APOE
AYPGKF-NH2,APOH
SELADELPAR,CCND1
ZAFIRLUKAST,CCND1
TAGITININ A,CCND1
MDG 548,CCND1
AZD3458,F5
IDELALISIB,F5
AMDIZALISIB,PIK3CB
AZ2,PIK3CB
COMPOUND 5D [PMID: 31335136],PIK3CB
AMDIZALISIB,F7
AZ2,F7
ZANDELISIB,PIK3CB
ZANDELISIB,F7
LGX-806,RAF1
LGB321,F10
WAY-255348,BDNF
PRRP-20,APOA4
VEGF RECEPTOR TYROSINE KINASE INHIBITOR III,FLT4
CD2314,BCL2L2
TRETINOIN,BCL2L2
TRETINOIN,BCL2L2
7-HYDROXYCHOLESTEROL,BCL2L1
OSI-930,FLT4
IZORLISIB,PIK3CB
B-R13/17K H2 RELAXIN,APP
COMPOUND 1 [PMID: 20005102],CXADR
SA10SC-RLX,APP
A-971432,AMY2A
FINGOLIMOD-PHOSPHATE,AMY2A
SELECTIN P LIGAND,SELP
SR-13668,AKT1
Y-39983,ROCK1
"[GA-DOTA,TYR3,THR8]OCTREOTIDE",FASLG
KE 108,FASLG
BIM 23068,FASLG
ANALOG 32 [PMID:18543899],AQP1
SRIF-14,AQP1
FIGOPITANT,TACR1
STING AGONIST 3,GRIN1
DEXTROTHYROXINE,THRB
TC-2216,CHRNB2
PYROTINIB,ERBB2
BGT-226,MTOR
QUINAZOLIN-4(3H) DERIVATIVE 36,TRPV4
SAR-20347,TYK2
UROTENSIN-II,UTS2R
BGT-226,PIK3CA
UROTENSIN-II,UTS2R
NEMTABRUTINIB,FKBP1AP3
BMS-911543,JAK2
COMPOUND 15B [PMID: 16539403],FKBP5
IBRUTINIB,MYC
VEMURAFENIB,MAP2K1
PANITUMUMAB,PIK3CA
DURVALUMAB,CD274
PEMBROLIZUMAB,CD274
EPIDERMAL GROWTH FACTOR RECEPTOR TYROSINE KINASE INHIBITOR,PTEN
FUTIBATINIB,FGFR2
IBRUTINIB,BLK
RITUXIMAB,NRG1
PACRITINIB,EGFR
VEMURAFENIB,PIK3CA
PACLITAXEL,PTEN
CETUXIMAB,PTEN
SELUMETINIB,CIC
VEMURAFENIB,SOX10
IDARUBICIN,DNMT3A
PACLITAXEL,TP53
THERAPEUTIC GLUCOCORTICOID,CREBBP
AKT INHIBITOR MK2206,PTEN
PANITUMUMAB,MAP2K1
LAPATINIB,ERBB4
DASATINIB ANHYDROUS,PDGFRA
RITUXIMAB,ERBB3
CARBOPLATIN,ALK
IFOSFAMIDE,ALK
OSUGACESTAT,CTNNB1
DOCETAXEL ANHYDROUS,FGFR1
CARBOPLATIN,FGFR1
GEFITINIB,KEAP1
CERITINIB,KEAP1
AFATINIB,KEAP1
VEMURAFENIB,MAP2K1
REVUMENIB,KMT2A
DABRAFENIB,MAP2K1
PEMBROLIZUMAB,MSH2
NIVOLUMAB,MSH2
RIBOCICLIB,PIK3CA
PI3K-ALPHA INHIBITOR HS-10352,PIK3CA
VOXTALISIB,PIK3CA
AKT INHIBITOR MK2206,PTEN
RIBOCICLIB,PTEN
PEMBROLIZUMAB,POLD1
NIVOLUMAB,PTEN
AFATINIB,PTEN
ONATASERTIB,PTEN
ALPRAZOLAM,GABRG3
ALPRAZOLAM,GABRA3
BUTALBITAL,GABRA3
BUTALBITAL,GABRG3
ISOFLURANE,GABRG3
BASILIXIMAB,IL2RA
USTEKINUMAB,IL12A
CYTARABINE,POLE
CLOFARABINE,POLD1
DISOPYRAMIDE PHOSPHATE,SCN8A
DISOPYRAMIDE PHOSPHATE,SCN9A
TETRACAINE,SCN7A
MEPIVACAINE HYDROCHLORIDE,SCN9A
ETIDOCAINE HYDROCHLORIDE,SCN8A
PROPOXYCAINE HYDROCHLORIDE,SCN9A
PROPAFENONE HYDROCHLORIDE,SCN7A
PROPARACAINE HYDROCHLORIDE,SCN7A
INDECAINIDE HYDROCHLORIDE,SCN7A
TOCAINIDE HYDROCHLORIDE,SCN8A
INDECAINIDE HYDROCHLORIDE,SCN8A
LURASIDONE HYDROCHLORIDE,DRD2
BIFEPRUNOX,HTR1A
AVAGACESTAT,PSEN2
AVAGACESTAT,PSEN1
PRADIGASTAT,DGAT1
BIRINAPANT,BIRC3
NIVOCASAN,CASP9
ADUCANUMAB,APP
BIFEPRUNOX,DRD2
ENAVATUZUMAB,TNFRSF12A
PEGSUNERCEPT,TNF
STAMULUMAB,MSTN
VATELIZUMAB,ITGA2
GSK933776,APP
AMISULPRIDE,HTR1A
CARBARIL,ACE
LEVOSIMENDAN,TNNI3
MINAPRINE,DRD1
AMISULPRIDE,DRD3
AVE-9633,CD33
TGN-1412,CD28
TREVOGRUMAB,MSTN
CP-195543,LTB4R
PATUPILONE,TUBB4A
UPROLESELAN,SELE
DORZAGLIATIN,GCK
NEMIRALISIB,PIK3CD
HMPL-453,FGFR1
SOFITUZUMAB VEDOTIN,TUBA4A
MINAPRINE,HTR2C
SISOMICIN,RPSA
VODOBATINIB,BCR
BI-187004,HSD11B1
TALSACLIDINE,CHRM2
ERFONRILIMAB,CD274
SPIRAMYCIN,RPSA
FAXELADOL,SLC6A4
GW441756X,CAMK2G
CHEMBL:CHEMBL429095,ALDH1A1
CHEMBL:CHEMBL586163,POLB
CHEMBL:CHEMBL581225,HTT
TARAFENACIN,CHRM3
NANAOMYCIN,NFE2L2
BETUNOLIC ACID,PLK1
"4',7-DIMETHOXY-5-HYDROXYGENISTEIN",NFKB1
CHEMBL:CHEMBL1477383,CYP1A2
DRINABANT,CNR1
MICONAZOLE NITRATE,HSP90AA1
IRETOL,APEX1
PURVALANOLA,HIF1A
CLOFAZIMINE,EHMT2
RIVENPROST,PTGER4
BENZBROMARONE,PPARG
EMODIC ACID,ALDH1A1
CHEMBL:CHEMBL379975,FYN
EZLOPITANT,TACR1
PROTOAPIGENONE,XBP1
ORTHOTOLIDINE,ALDH1A1
HEXACHLOROPHENE,THRB
VORINOSTAT,HDAC8
VORINOSTAT,HDAC9
CHEMBL:CHEMBL1235854,AR
CHEMBL:CHEMBL531401,ADRB2
TRICLOSAN,RXRA
GALLIC ACID,ALDH1A1
METHAPHIT,CYP2D6
CHEMBL:CHEMBL2095095,NFE2L2
FENAMIDONE,AR
SYROSINGOPINE,P4HB
CHEMBL:CHEMBL2208195,PPARG
GITOXIGENIN,GMNN
SULFISOXAZOLE,TSHR
NEBOGLAMINE,GRIN2B
HEMICHOLINIUM-3,EHMT2
1-AZAKENPAULLONE,GSK3B
CHEMBL:CHEMBL600694,SMAD3
DICYCLOMINE HYDROCHLORIDE,CYP1A2
VANDETANIB,MAPK14
EQUILIN,TARDBP
RAPASTINEL,GRIN2B
AST-487,PDGFRB
NEBOGLAMINE,GRIN1
TYRPHOSTIN 51,VDR
CHEMBL:CHEMBL602990,SMAD3
CHEMBL:CHEMBL601757,USP1
APIMOSTINEL,GRIN3A
CHEMBL:CHEMBL1702181,TP53
TIZANIDINE HYDROCHLORIDE,AR
CHEMBL:CHEMBL1537417,TARDBP
NECROSTATIN-1,SMN1
CHEMBL:CHEMBL586195,EHMT2
APIMOSTINEL,GRIN2B
GW7647,SIRT5
RIMONABANT,ABCC1
BUTAMBEN,AR
CHEMBL:CHEMBL599924,GMNN
DROSPIRENONE,AR
SALICYLAMIDE,HSD17B10
CHEMBL:CHEMBL2204435,NR1H2
HYPOTAURINE,EHMT2
PHENAMIL METHANESULFONATE,SMN1
AROTINOID ACID,RARG
NITROXOLINE,HSP90AA1
AV-101,GRIN2B
IRIGINOL HEXAACEATATE,HPGD
ERYTHROMYCIN,CYP1A2
CHEMBL:CHEMBL1528359,RAD52
RESCINNAMINE,GMNN
ZEARALENONE,HSPB1
METHYL 7-DESHYDROXYPYROGALLIN-4-CARBOXYLATE,APEX1
CHEMBL:CHEMBL579837,GMNN
NEFAZODONE HYDROCHLORIDE,NFE2L2
CNS-5161,GRIN1
PROCHLORAZ,NFE2L2
SIMPINICLINE,CHRNA3
CHEMBL:CHEMBL259422,TP53
CHEMBL:CHEMBL1210769,CASP7
NIFLUMIC ACID,CYP1A2
CHEMBL:CHEMBL530609,NPC1
TAMOXIFEN CITRATE,GMNN
SIMVASTATIN,HMGCR
TEZAMPANEL,GRIA2
CHEMBL:CHEMBL602776,ALDH1A1
CHEMBL:CHEMBL601135,CYP1A2
SULINDAC,CYP1A2
MARIMASTAT,ADAM10
CHEMBL:CHEMBL546865,NPC1
CHEMBL:CHEMBL1426508,ALDH1A1
CHEMBL:CHEMBL1287980,ATXN2
CHEMBL:CHEMBL546865,BRCA1
APICIDIN,HDAC3
SANGUINARINE SULFATE,ALOX15
CARMINIC ACID,MMP14
BITHIONOLOXIDE,GMNN
GW5074,MAPT
DESOGESTREL,GMNN
TRICIRIBINE,NFE2L2
FENRETINIDE,MAPT
SULPIRIDE,CYP1A2
CEFAMANDOLE SODIUM,TDP1
MYRICETIN,WRN
FLUCONAZOLE,ALB
RABEPRAZOLE,NFE2L2
CYCLOHEXIMIDE,HIF1A
"4',7-DIMETHOXY-5-HYDROXYGENISTEIN",CYP1A2
EBSELEN,FEN1
BENZBROMARONE,HPGD
DEQUALINIUM CHLORIDE,EHMT2
5-HYDROXYTRYPTOPHAN,MAPT
CUCURBITACIN D,HSP90AA1
CAMPTOTHECIN,HNRNPA1
CHLORHEXIDINE GLUCONATE,AR
CASOPITANT,TACR1
BENZOFURAN,AR
CERITINIB,IGF1R
MINOCYCLINE HYDROCHLORIDE,APEX1
FLUAZINAM,AR
ALISERTIB,FGFR1
METFORMIN,PRKAB1
N-DESMETHYLCLOZAPINE,DRD1
ICI-164384,ESR1
BUTACAINE,CYP2D6
DITIOCARB SODIUM,AR
BETAXOLOL,ADRB1
N-OLEOYLETHANOLAMIDE,CYP1A2
HAEMATOXYLIN,VDR
PTEROSTILBENE,TARDBP
FLUOXETINE HYDROCHLORIDE,ATXN2
BATILOL,AR
HYDROCORTISONE BUTYRATE,NFKB1
BRONOPOL,VDR
BRIVANIB ALANINATE,KDR
2-(2'-METHOXYPHENYL)-1H-INDOLE,SMN1
CHEMBL:CHEMBL258756,EHMT2
LINIFANIB,PDGFRA
LINIFANIB,CSF1R
DOVITINIB,PDGFRA
AC-55541,F2RL1
RO19-4603,CYP1A2
DOCEBENONE,VDR
CHEMBL:CHEMBL1523215,ESR1
MICHLER'S KETONE,AR
CHEMBL:CHEMBL1523215,TARDBP
CHEMBL:CHEMBL1312050,KMT2A
CHEMBL:CHEMBL148831,PRDX5
CHEMBL:CHEMBL588038,EHMT2
CYCLIRAMINE MALEATE,KMT2A
AVOSENTAN,EDNRA
CHEMBL:CHEMBL2094573,SMN1
TRIPROLIDINE,EHMT2
BUSPIRONE,ALDH1A1
CHEMBL:CHEMBL2094573,SMN2
METHOXSALEN,CYP2D6
ALISERTIB,NTRK1
LUMATEPERONE,HTR2A
OCRELIZUMAB,MS4A1
MYRICETIN,CASP6
CHEMBL:CHEMBL515505,ALDH1A1
CHEMBL:CHEMBL1797709,KAT2B
PIMOZIDE,CYP2D6
PROTRIPTYLINE,CYP2D6
PRASUGREL,CYP2B6
PHENYTOIN SODIUM,HLA-B
TAFAMIDIS,TTR
RIVAROXABAN,F5
GANETESPIB,HSP90AA1
GEDATOLISIB,PIK3C3
TIRBANIBULIN,SRC
LEXIBULIN,TUBB4A
VATALANIB,KDR
OFATUMUMAB,MS4A1
SATRALIZUMAB,IL6ST
TRAMETINIB DIMETHYL SULFOXIDE,MAP2K6
SATRALIZUMAB,IL6R
BRYOSTATIN,PRRT2
ERYTHROMYCIN,ABCC1
EPIGALLOCATECHIN GALLATE,ABCC1
GEFITINIB,ABCB1
NOVOBIOCIN,ABCC1
METHOTREXATE,ALOX5
PROTEASOME INHIBITOR,ARNT
CARBOPLATIN,ATP7B
RECOMBINANT INTERLEUKIN-1,BAX
INOSITOL,CCKBR
RECOMBINANT HUMAN 6CKINE,CCL22
CLENOLIXIMAB,CD4
INTERLEUKIN-12 GENE,CD28
THERAPEUTIC STEROID HORMONE,CD9
TOREMIFENE,CD80
SOTATERCEPT,INHBA
LIOTHYRONINE,CHAT
EPIGALLOCATECHIN GALLATE,CSF2
BECLOMETHASONE DIPROPIONATE,CSF2
ROQUINIMEX,CSF2
MPA,CSF2
RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA-2,CSF2
SIROLIMUS,CTLA4
IROPLACT,CXCL10
METHYLPHENIDATE HYDROCHLORIDE,CYP2D6
PACLITAXEL,E2F1
ROMIDEPSIN,ERBB2
GEMCITABINE,ERBB2
IDARUBICIN,ETV6
MDX-210,FCGR1A
ARSENIC TRIOXIDE,FAS
STAUROSPORINE,SLC1A1
BUTYRIC ACID,TAC1
LIOTHYRONINE,TAC3
IDOXURIDINE,TGFB1
RETINOIC ACID AGENT,TGFB1
TESTOSTERONE,TGFB1
LEVAMISOLE,TGM2
PRASTERONE,TH
LIRILUMAB,KIR2DL3
PROCARBAZINE HYDROCHLORIDE,TNF
TRIFLUOPERAZINE,TP53
INTERFERON ALFA-2B,TP53
LIOTHYRONINE,UCP2
ESTRADIOL VALERATE,VDR
STAUROSPORINE,VDR
NICOTINE POLACRILEX,VHL
BI-505,ICAM1
"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",COMT
ETOPOSIDE,NQO1
TALAZOPARIB,ERBB2
LYSOSOMAL ALPHA-GLUCOSIDASE,GAA
GLAFENINE,PTGS1
NIALAMIDE,MAOB
OMBITASVIR/PARITAPREVIR/RITONAVIR,IFNL3
DOPAMINE,ADRB1
PRAVASTATIN SODIUM,APOE
CEPHRADINE,NR1I2
CEFADROXIL ANHYDROUS,NR1I2
PROGESTERONE,NR1I2
COTININE,CYP2B6
VINBLASTINE,NR1I2
ROSIGLITAZONE,NR1I2
EMAPALUMAB-LZSG,PRF1
PHENOXYPROPAZINE,MAOA
FLUVOXAMINE,ABCB1
FLUVOXAMINE,CYP1A2
FLUVOXAMINE,HTR1A
SOMATROPIN (RECOMBINANT DNA ORIGIN),COL1A1
RITUXIMAB,TGFB1
RITUXIMAB,CXCL12
CAFFEINE,DRD2
PROPANIDID,BCHE
FENOFIBRATE MICRONIZED,SCARB1
REMOXIPRIDE HYDROCHLORIDE,DRD2
AMITRIPTYLINE HYDROCHLORIDE,AKT1
LITHIUM,FKBP5
NORTRIPTYLINE,COMT
LENALIDOMIDE,KDR
BENAZEPRIL,AGT
ATORVASTATIN CALCIUM TRIHYDRATE,HMGCR
PHENOXYPROPAZINE,MAOB
SULFAMETHAZINE,NAT2
ELEXACAFTOR,CFTR
ATORVASTATIN CALCIUM TRIHYDRATE,CACNA1S
NIMOTUZUMAB,EGFR
ETOPOSIDE,GSTT1
FLUOROURACIL,APEX1
IMATINIB,BCR
MERCAPTOPURINE,FTO
MERCAPTOPURINE,COMT
INFLIXIMAB-DYYB,HLA-E
LAROPIPRANT,PTGDR
CLOZAPINE,PRKAA2
CLOZAPINE,NTRK2
CLOZAPINE,HNMT
CLOZAPINE,NQO2
NEVIRAPINE,HLA-DQB1
SPIRONOLACTONE,CYP11B2
ALVERINE,HTR1A
FLUOROURACIL,INSR
SERTINDOLE,ADRA1A
COPANLISIB HYDROCHLORIDE,PIK3CA
CLAVULANIC ACID,HLA-A
PEGINTERFERON ALFA-2A,IDO1
BUPRENORPHINE,SLC6A3
USTEKINUMAB,IL23A
PG-110,NGF
DASATINIB ANHYDROUS,FYN
DENILEUKIN DIFTITOX,IL12RB2
GEMTUZUMAB OZOGAMICIN,CD33
IMATINIB,CSF1R
IMATINIB,DDR1
NEMIFITIDE,HTR2A
ALICAFORSEN,ICAM1
INTERFERON BETA-1B,IFNAR1
MDX-1342,CD19
ISIS 104838,TNF
CLONAZEPAM,GABRA1
LETROZOLE,CYP19A1
LOTEPREDNOL,NR3C1
BUTOBARBITAL,GABRA3
BUTABARBITAL,CHRNA7
CHORIOGONADOTROPIN ALFA,LHCGR
DIPHENIDOL,CHRM3
FELBAMATE,GRIN2A
PERINDOPRIL,ACE
PROGABIDE,GABBR1
QUINESTROL,ESR1
ADAPALENE,RARA
AZACITIDINE,DNMT1
QUAZEPAM,GABRG3
QUETIAPINE FUMARATE,DRD1
QUETIAPINE FUMARATE,HTR2C
QUETIAPINE FUMARATE,DRD2
QUINESTROL,ESR1
SALMON CALCITONIN,CALCR
SIROLIMUS,FKBP1A
MRA 003 US,IL6
SIMVASTATIN,HMGCR
TEMAZEPAM,GABRA1
TAMOXIFEN,ESR2
TAMIBAROTENE,RARA
TEMAZEPAM,TSPO
TALBUTAL,GRIA2
TENOXICAM,PTGS2
RACEMENTHOL,TRPA1
TRAMADOL,HTR2C
TRAZODONE,ADRA2A
BOTULINUM TOXIN TYPE B,VAMP2
TRIFLUPROMAZINE,DRD2
