geneSymbol,diseaseName
CBLB,Multiple Sclerosis
HMOX1,Parkinson Disease
IL7,Multiple Sclerosis
PPP2R2B,Spinocerebellar Ataxias
CHMP2B,Frontotemporal Dementia
CASP3,Alzheimer Disease
GAK,Parkinson Disease
ABCA7,Alzheimer Disease
UNC13A,Amyotrophic Lateral Sclerosis
SOD2,Alzheimer Disease
SPTBN2,Spinocerebellar Ataxias
SOD1,Parkinson Disease
CNR1,Multiple Sclerosis
APOE,"Multiple Sclerosis, Relapsing-Remitting"
RELN,Alzheimer Disease
HSPA9,Parkinson Disease
EIF2S1,Alzheimer Disease
ENO1,Alzheimer Disease
SELE,Multiple Sclerosis
IGF2R,Alzheimer Disease
GSTA4,Parkinson Disease
IGF2,Parkinson Disease
INS,Parkinson Disease
VCAM1,Multiple Sclerosis
CD33,Alzheimer Disease
PANK2,Neurodegeneration with brain iron accumulation (NBIA)
ATP1A3,Parkinsonian Disorders
CHMP2B,Amyotrophic Lateral Sclerosis
PTGS2,Amyotrophic Lateral Sclerosis
TREM2,Alzheimer Disease
KIF1B,Multiple Sclerosis
TTBK2,Spinocerebellar Ataxias
TH,Parkinsonian Disorders
OGG1,Huntington Disease
MIR146A,Alzheimer Disease
SLC30A6,Alzheimer Disease
PDCD1,Multiple Sclerosis
HLA-DRA,Parkinson Disease
PARK16,Parkinson Disease
SQSTM1,Amyotrophic Lateral Sclerosis
AFG3L2,Spinocerebellar Ataxias
GDNF,Huntington Disease
DPYSL2,Alzheimer Disease
TNFAIP3,Multiple Sclerosis
TNFSF14,Multiple Sclerosis
CD2AP,Alzheimer Disease
F2,Alzheimer Disease
FAAH,Huntington Disease
ATP5A1,Alzheimer Disease
SLC30A4,Alzheimer Disease
GSTP1,Amyotrophic Lateral Sclerosis
ATXN1L,Spinocerebellar Ataxias
GPX1,Parkinson Disease
MAP3K5,Parkinson Disease
EPHA1,Alzheimer Disease
IGF1R,Alzheimer Disease
HSPA1A,Parkinson Disease
GFAP,Amyotrophic Lateral Sclerosis
PON1,"Amyotrophic Lateral Sclerosis, Sporadic"
SIGMAR1,Amyotrophic Lateral Sclerosis
TP53,Amyotrophic Lateral Sclerosis
APOE,Alzheimer disease type 2
PRKRA,Parkinsonian Disorders
WDR45,Neurodegeneration with brain iron accumulation (NBIA)
POMC,Multiple Sclerosis
CNR1,Huntington Disease
MAPT,"PARKINSON DISEASE, LATE-ONSET"
CASP1,Amyotrophic lateral sclerosis 1
CNTF,Amyotrophic lateral sclerosis 1
GDNF,Parkinson Disease
HSPA5,Spinocerebellar Ataxia 17
HSPA8,Spinocerebellar Ataxia 17
P2RX7,Multiple Sclerosis
STAT4,Multiple Sclerosis
AIFM1,Huntington Disease
RCAN1,Huntington Disease
AD5,Alzheimer Disease
CALM1,Alzheimer Disease
CRH,Alzheimer Disease
PAXIP1,Alzheimer Disease
FMO1,"Amyotrophic Lateral Sclerosis, Sporadic"
TMEM240,Spinocerebellar ataxia 21
AD5,Alzheimer Disease 5
PARK2,"PARKINSON DISEASE, LATE-ONSET"
CAMK1G,Amyotrophic Lateral Sclerosis
CD40LG,Amyotrophic Lateral Sclerosis
DBR1,Amyotrophic Lateral Sclerosis
PLA2G4A,Amyotrophic Lateral Sclerosis
SLC6A1,Amyotrophic Lateral Sclerosis
MAPT,Progressive supranuclear palsy atypical
XIAP,Amyotrophic lateral sclerosis 1
PDYN,Parkinsonian Disorders
SLC18A2,Parkinsonian Disorders
AD13,Alzheimer Disease 13
SCAR2,"Spinocerebellar Ataxia, Autosomal Recessive 2"
ATP5B,Spinocerebellar Ataxia 17
HMOX1,Spinocerebellar Ataxia 17
HYOU1,Spinocerebellar Ataxia 17
NQO1,Spinocerebellar Ataxia 17
P4HB,Spinocerebellar Ataxia 17
PDIA3,Spinocerebellar Ataxia 17
BCHE,Multiple Sclerosis
MCAM,Multiple Sclerosis
MS2,Multiple Sclerosis
MS3,Multiple Sclerosis
MS4,Multiple Sclerosis
DIABLO,Huntington Disease
IP6K2,Huntington Disease
PARK3,"Parkinson Disease 3, Autosomal Dominant Lewy Body"
AD10,Alzheimer Disease
AD6,Alzheimer Disease
AD8,Alzheimer Disease
AD9,Alzheimer Disease
AMFR,Alzheimer Disease
ARC,Alzheimer Disease
LEP,Alzheimer Disease
MS4A4A,Alzheimer Disease
NPY,Alzheimer Disease
PYY,Alzheimer Disease
TPI1,Alzheimer Disease
TPP1,Alzheimer Disease
SCAX4,"Spinocerebellar ataxia, X-linked, 4"
AD11,Alzheimer Disease 11
SCAX3,"Spinocerebellar ataxia, X-linked, 3"
SCA21,Spinocerebellar ataxia 21
SCAR3,"Spinocerebellar ataxia, autosomal recessive 3"
AD9,Alzheimer Disease 9
SCA25,Spinocerebellar ataxia 25
PARK16,Parkinson Disease 16
ALS3,Amyotrophic Lateral Sclerosis 3
CHMP2B,"Amyotrophic Lateral Sclerosis, Chmp2B-Related"
HMNJ,"Spinal muscular atrophy, Jerash type"
ALS7,Amyotrophic Lateral Sclerosis 7
FRDA2,Friedreich Ataxia 1
PRNP,Huntington Disease-Like 1
TRPV4,"Spinal Muscular Atrophy, Distal, Congenital Nonprogressive"
SMAL,"Spinal Muscular Atrophy, Distal, Congenital Nonprogressive"
SMN1,Spinal muscular atrophy 4
CLA3,"Spinocerebellar ataxia, autosomal recessive 6"
COQ2,"MULTIPLE SYSTEM ATROPHY 1, SUSCEPTIBILITY TO"
FRDA2,Friedreich Ataxia 2
PLSA1,"Primary Lateral Sclerosis, Adult, 1"
ADH1C,"PARKINSON DISEASE, LATE-ONSET"
DBH,"PARKINSON DISEASE, LATE-ONSET"
DRD4,"PARKINSON DISEASE, LATE-ONSET"
FGF20,"PARKINSON DISEASE, LATE-ONSET"
NDUFV2,"PARKINSON DISEASE, LATE-ONSET"
NR4A2,"PARKINSON DISEASE, LATE-ONSET"
PARK10,"PARKINSON DISEASE, LATE-ONSET"
PARK12,"PARKINSON DISEASE, LATE-ONSET"
PARK3,"PARKINSON DISEASE, LATE-ONSET"
SNCAIP,"PARKINSON DISEASE, LATE-ONSET"
TBP,"PARKINSON DISEASE, LATE-ONSET"
UCHL1,"PARKINSON DISEASE, LATE-ONSET"
SCAX5,"Spinocerebellar Ataxia, X-Linked 5"
SCA26,Spinocerebellar ataxia 26
GSR,Amyotrophic Lateral Sclerosis
PLEKHG4,Spinocerebellar Ataxia 31
AD7,Alzheimer Disease 7
AD6,Alzheimer Disease 6
MATR3,AMYOTROPHIC LATERAL SCLEROSIS 21
SMAR,"Spinal Muscular Atrophy, Distal, Autosomal Recessive, 3"
ND1,"ALZHEIMER DISEASE, SUSCEPTIBILITY TO, MITOCHONDRIAL"
ND2,"ALZHEIMER DISEASE, SUSCEPTIBILITY TO, MITOCHONDRIAL"
ANG,Amyotrophic lateral sclerosis 1
BCL2L1,Amyotrophic lateral sclerosis 1
BSG,Amyotrophic lateral sclerosis 1
CALB2,Amyotrophic lateral sclerosis 1
CD68,Amyotrophic lateral sclerosis 1
CD7,Amyotrophic lateral sclerosis 1
CLU,Amyotrophic lateral sclerosis 1
CREBBP,Amyotrophic lateral sclerosis 1
CST3,Amyotrophic lateral sclerosis 1
CTSD,Amyotrophic lateral sclerosis 1
DBX1,Amyotrophic lateral sclerosis 1
FGF6,Amyotrophic lateral sclerosis 1
FOS,Amyotrophic lateral sclerosis 1
GABRA1,Amyotrophic lateral sclerosis 1
GBX2,Amyotrophic lateral sclerosis 1
GDI1,Amyotrophic lateral sclerosis 1
GFAP,Amyotrophic lateral sclerosis 1
GRIA3,Amyotrophic lateral sclerosis 1
GSX2,Amyotrophic lateral sclerosis 1
INA,Amyotrophic lateral sclerosis 1
JAK3,Amyotrophic lateral sclerosis 1
JUND,Amyotrophic lateral sclerosis 1
KIF3C,Amyotrophic lateral sclerosis 1
LAT,Amyotrophic lateral sclerosis 1
LDLR,Amyotrophic lateral sclerosis 1
OTOG,Amyotrophic lateral sclerosis 1
PDGFA,Amyotrophic lateral sclerosis 1
PENK,Amyotrophic lateral sclerosis 1
PRPH,Amyotrophic lateral sclerosis 1
RXRA,Amyotrophic lateral sclerosis 1
SELPLG,Amyotrophic lateral sclerosis 1
SHC1,Amyotrophic lateral sclerosis 1
SIX2,Amyotrophic lateral sclerosis 1
SNAI1,Amyotrophic lateral sclerosis 1
TIAM1,Amyotrophic lateral sclerosis 1
TLE3,Amyotrophic lateral sclerosis 1
TMSB4X,Amyotrophic lateral sclerosis 1
TNF,Amyotrophic lateral sclerosis 1
VIM,Amyotrophic lateral sclerosis 1
WNT7A,Amyotrophic lateral sclerosis 1
TARDBP,Amyotrophic Lateral Sclerosis 10
SCAX2,"Spinocerebellar ataxia, X-linked, 2"
VAPB,"Spinal Muscular Atrophy, Proximal, Adult, Autosomal Dominant"
AD8,Alzheimer Disease 8
AD16,Alzheimer Disease 16
ALDH1A1,Parkinsonian Disorders
ALDH1A2,Parkinsonian Disorders
DCTN1,Parkinsonian Disorders
DDC,Parkinsonian Disorders
GSR,Parkinsonian Disorders
NGF,Parkinsonian Disorders
PARP1,Parkinsonian Disorders
PRKCD,Parkinsonian Disorders
PRL,Parkinsonian Disorders
ATP13A2,"Parkinson Disease, Secondary"
GDNF,"Parkinson Disease, Secondary"
PARK2,"Parkinson Disease, Secondary"
RGS2,"Parkinson Disease, Secondary"
SHH,"Parkinson Disease, Secondary"
AD10,Alzheimer Disease 10
WSN,"Parkinsonism, early onset with mental retardation"
PARK10,Parkinson Disease 10
TRPM7,AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1
CIC,Spinocerebellar Ataxias
FOXC1,Spinocerebellar Ataxias
GFI1,Spinocerebellar Ataxias
RBM17,Spinocerebellar Ataxias
SCA9,Spinocerebellar Ataxias
PARK12,Parkinson Disease 12
HLA-DQB1,Creutzfeldt-Jakob Syndrome
AIF1,Parkinson Disease
DDIT4,Parkinson Disease
EDN1,Parkinson Disease
FBP1,Parkinson Disease
FGB,Parkinson Disease
GFAP,Parkinson Disease
HGF,Parkinson Disease
IGF2R,Parkinson Disease
INSR,Parkinson Disease
KCNJ4,Parkinson Disease
MAG,Parkinson Disease
NGF,Parkinson Disease
RPL14,Parkinson Disease
RPL23A,Parkinson Disease
RPL6,Parkinson Disease
RPS8,Parkinson Disease
TALDO1,Parkinson Disease
ALS5,Amyotrophic Lateral Sclerosis 5
SCA30,Spinocerebellar ataxia 30
PLD3,ALZHEIMER DISEASE 19
HDL3,Huntington Disease-Like 3
AD15,Alzheimer Disease 15
SCA20,Spinocerebellar ataxia 20
SCASI,"Spinocerebellar ataxia, autosomal recessive 4"
AD14,Alzheimer Disease 14
AD12,Alzheimer Disease 12
VAPB,"Spinal Muscular Atrophy, Late-Onset, Finkel Type"
ND1,Alzheimer Disease
GLUD2,Parkinson Disease
C9orf72,Frontotemporal Dementia With Motor Neuron Disease
WDR45,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 5
NOP56,SPINOCEREBELLAR ATAXIA 36
DNAJC13,Parkinson Disease
DRD1,Huntington Disease
SPTBN2,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 14"
HNRNPA1,"Multiple Sclerosis, Relapsing-Remitting"
HDAC8,Wilson-Turner X-linked mental retardation syndrome
HLA-DRB1,"MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO"
PSEN1,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Unusual Plaques"
ATP6AP2,"PARKINSONISM WITH SPASTICITY, X-LINKED"
NOS3,"ALZHEIMER DISEASE, LATE-ONSET, SUSCEPTIBILITY TO"
TRNK,"Parkinson Disease, Mitochondrial"
APP,"Alzheimer Disease, Familial, 1"
TNFRSF1A,"MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 5"
DNAJC6,"PARKINSON DISEASE 19, JUVENILE-ONSET"
KIAA0226,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 15"
GRM1,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 13"
PSEN1,Alzheimer disease type 4
DNAJB2,"SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 5"
HNRNPA1,"Multiple Sclerosis, Chronic Progressive"
APP,"Alzheimer Disease, Early-Onset, With Cerebral Amyloid Angiopathy"
LRP1,Alzheimer Disease
CHAT,Alzheimer Disease
MME,Alzheimer Disease
TARDBP,Frontotemporal Dementia
IL1B,Parkinson Disease
PIN1,Alzheimer Disease
PTGS2,Alzheimer Disease
PARK7,Parkinsonian Disorders
IL4R,Multiple Sclerosis
TH,Parkinson Disease
AGER,Alzheimer Disease
CCR5,Alzheimer Disease
SOD1,Alzheimer Disease
ND3,Parkinson Disease
TARDBP,Amyotrophic lateral sclerosis 1
PTGS1,Alzheimer Disease
NOS2,Alzheimer Disease
PPARGC1A,Alzheimer Disease
PPP3CA,Alzheimer Disease
CAV1,Alzheimer Disease
CASP3,Amyotrophic Lateral Sclerosis
NGF,Alzheimer Disease
SLC6A3,Parkinsonian Disorders
ZDHHC17,Huntington Disease
S100B,Alzheimer Disease
LEP,Huntington Disease
CNTF,Huntington Disease
APLP2,Alzheimer Disease
HTR1A,Parkinson Disease
HSPD1,Alzheimer Disease
GRK5,Parkinson Disease
SMN2,spinal muscular atrophy type ii
AQP4,Amyotrophic Lateral Sclerosis
C3,Amyotrophic Lateral Sclerosis
ITPR1,Huntington Disease
SNCA,"PARKINSON DISEASE, LATE-ONSET"
KCNJ10,Amyotrophic Lateral Sclerosis
COMT,Parkinsonian Disorders
ZDHHC13,Huntington Disease
SERPINF1,Alzheimer Disease
MAP2,Alzheimer Disease
MSTN,Amyotrophic Lateral Sclerosis
CASP12,Amyotrophic Lateral Sclerosis
C5AR1,Amyotrophic Lateral Sclerosis
SOD2,Amyotrophic lateral sclerosis 1
HSPA9,Parkinsonian Disorders
CSF2,Parkinsonian Disorders
SLC11A2,Parkinsonian Disorders
HSPA8,Parkinson Disease
PTGS2,Huntington Disease
NOS3,Huntington Disease
CAT,Huntington Disease
CNR2,Huntington Disease
KALRN,Huntington Disease
E2F1,Huntington Disease
ND3,Huntington Disease
DUSP1,Huntington Disease
MBP,Huntington Disease
SPR,"Parkinson Disease 3, Autosomal Dominant Lewy Body"
BMPR1A,Wolff-Parkinson-White Syndrome
PLCB1,Alzheimer Disease
TRIB2,Alzheimer Disease
ADAMTS4,Alzheimer Disease
TNF,"MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO"
PRF1,"MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO"
PADI2,"MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO"
ATG7,"PARKINSON DISEASE, LATE-ONSET"
ADH7,"PARKINSON DISEASE, LATE-ONSET"
C10orf2,"Parkinson Disease, Mitochondrial"
TFAM,"Parkinson Disease, Mitochondrial"
PTPRZ1,Amyotrophic Lateral Sclerosis
CASP9,Amyotrophic Lateral Sclerosis
RARA,Amyotrophic Lateral Sclerosis
IGF2R,Amyotrophic Lateral Sclerosis
SNCG,Amyotrophic lateral sclerosis 1
VEGFA,Amyotrophic lateral sclerosis 1
VPS54,Amyotrophic lateral sclerosis 1
SERPINA3,Amyotrophic lateral sclerosis 1
UCN,Parkinsonian Disorders
GFRA1,Parkinsonian Disorders
RET,Parkinsonian Disorders
GRM8,Parkinsonian Disorders
VIP,Parkinsonian Disorders
NOS1,Parkinsonian Disorders
PTGS2,Parkinsonian Disorders
FKBP1A,Parkinsonian Disorders
ENO2,Parkinsonian Disorders
ABCC8,Parkinsonian Disorders
ADCYAP1,Parkinsonian Disorders
ABCC9,Parkinsonian Disorders
CNR1,Parkinsonian Disorders
KCNJ11,Parkinsonian Disorders
VHL,Parkinsonian Disorders
EGFR,Parkinsonian Disorders
SLC6A4,Parkinsonian Disorders
IL1B,Parkinsonian Disorders
CX3CL1,Parkinsonian Disorders
LYN,Parkinsonian Disorders
COX1,Parkinsonian Disorders
CX3CR1,Parkinsonian Disorders
DRD3,Parkinsonian Disorders
SRC,Parkinsonian Disorders
NFKB2,Parkinsonian Disorders
RELA,Parkinsonian Disorders
KCNJ8,Parkinsonian Disorders
GFRA2,Parkinsonian Disorders
ESR1,Parkinsonian Disorders
MMP3,Parkinsonian Disorders
GJA1,Parkinsonian Disorders
ABAT,Parkinsonian Disorders
APP,Alzheimer disease type 4
HCN3,Parkinson Disease
ADRBK2,Parkinson Disease
FASLG,Parkinson Disease
DLG1,Parkinson Disease
DLG4,Parkinson Disease
CTGF,Parkinson Disease
GRK6,Parkinson Disease
ADRBK1,Parkinson Disease
HSPA4,Parkinson Disease
ABL1,Parkinson Disease
TNF,Multiple Sclerosis
APOE,Parkinson Disease
IL6,Alzheimer Disease
CTLA4,Multiple Sclerosis
IL1A,Alzheimer Disease
MBP,Multiple Sclerosis
FUS,Amyotrophic Lateral Sclerosis
SLC6A4,Alzheimer Disease
UCHL1,Parkinson Disease
COMT,Parkinson Disease
CCR5,Multiple Sclerosis
HLA-A,Multiple Sclerosis
HLA-DQA1,Multiple Sclerosis
IL10,Multiple Sclerosis
NR4A2,Parkinson Disease
C9orf72,Amyotrophic Lateral Sclerosis
IFNG,Multiple Sclerosis
HLA-B,Multiple Sclerosis
SERPINA3,Alzheimer Disease
ABCA1,Alzheimer Disease
PON1,Alzheimer Disease
IL10,Alzheimer Disease
IL6,Multiple Sclerosis
CALHM1,Alzheimer Disease
CTSD,Alzheimer Disease
MOG,Multiple Sclerosis
GIGYF2,Parkinson Disease
TOMM40,Alzheimer Disease
LDLR,Alzheimer Disease
GAB2,Alzheimer Disease
MTHFR,Parkinson Disease
C9orf72,Frontotemporal Dementia
GRN,Alzheimer Disease
TBP,Spinocerebellar Ataxias
PON1,Amyotrophic Lateral Sclerosis
APOC1,Alzheimer Disease
ATXN8OS,Spinocerebellar Ataxias
HTR2A,Alzheimer Disease
VDR,Multiple Sclerosis
NAT2,Parkinson Disease
IL2,Multiple Sclerosis
MMP9,Multiple Sclerosis
TARDBP,GRN-related frontotemporal dementia
FGF20,Parkinson Disease
